counts,director,genre,quote,rank,rating,runtime,title,url
287643人评价,弗洛里安·亨克尔·冯·多纳斯马尔克,2006 / 德国 / 剧情 悬疑,别样人生。,41,9.1,137分钟,窃听风暴,https://movie.douban.com/subject/1900841/
285567人评价,杨宇硕,2013 / 韩国 / 剧情,电影的现实意义大过电影本身。,43,9.2,127分钟,辩护人,https://movie.douban.com/subject/21937445/
655462人评价,涅提·蒂瓦里,2016 / 印度 / 剧情 传记 运动 家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,40,9.1,161分钟(印度),摔跤吧！爸爸,https://movie.douban.com/subject/26387939/
455691人评价,宫崎骏,2004 / 日本 / 动画 奇幻 冒险,带着心爱的人在天空飞翔。,42,8.9,119分钟,哈尔的移动城堡,https://movie.douban.com/subject/1308807/
412524人评价,马丁·布莱斯特,1992 / 美国 / 剧情,史上最美的探戈。,44,9.0,157 分钟,闻香识女人,https://movie.douban.com/subject/1298624/
485809人评价,威廉·惠勒,1953 / 美国 / 喜剧 剧情 爱情,爱情哪怕只有一天。,39,9.0,118 分钟,罗马假日,https://movie.douban.com/subject/1293839/
346032人评价,梅尔·吉布森,1995 / 美国 / 动作 传记 剧情 历史 战争,史诗大片的典范。,74,8.8,177 分钟,勇敢的心,https://movie.douban.com/subject/1294639/
139479人评价,万籁鸣,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,经典之作，历久弥新。,75,9.3,114分钟,大闹天宫,https://movie.douban.com/subject/1418019/
416259人评价,昆汀·塔伦蒂诺,1994 / 美国 / 剧情 喜剧 犯罪,故事的高级讲法。,73,8.8,154分钟,低俗小说,https://movie.douban.com/subject/1291832/
284261人评价,罗伯特·怀斯,1965 / 美国 / 剧情 传记 爱情 歌舞,用音乐化解仇恨，让歌声串起美好。,72,8.9,174分钟,音乐之声,https://movie.douban.com/subject/1294408/
480411人评价,奥里奥尔·保罗,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。,71,8.7,106分钟,看不见的客人,https://movie.douban.com/subject/26580232/
450907人评价,朱塞佩·托纳多雷,2000 / 意大利 美国 / 剧情 战争 情色,美丽无罪。,66,8.8,109 分钟,西西里的美丽传说,https://movie.douban.com/subject/1292402/
304952人评价,史蒂文·斯皮尔伯格,1998 / 美国 / 剧情 历史 战争,美利坚精神输出大片No1.,69,8.9,169分钟,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/
577143人评价,让-皮埃尔·热内,2001 / 法国 德国 / 喜剧 爱情,法式小清新。,70,8.7,122分钟,天使爱美丽,https://movie.douban.com/subject/1292215/
356713人评价,莉莉·沃卓斯基,1999 / 美国 澳大利亚 / 动作 科幻,视觉革命。,67,8.9,136分钟,黑客帝国,https://movie.douban.com/subject/1291843/
789654人评价,姜文,2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。,68,8.7,132分钟,让子弹飞,https://movie.douban.com/subject/3742360/
637330人评价,拉斯·霍尔斯道姆,2009 / 美国 英国 / 剧情,永远都不能忘记你所爱的人。,11,9.3,93分钟,忠犬八公的故事,https://movie.douban.com/subject/3011091/
483747人评价,大卫·芬奇,2008 / 美国 / 剧情 爱情 奇幻,在时间之河里感受溺水之苦。,64,8.8,166分钟,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/
423937人评价,克里斯托弗·诺兰,2006 / 美国 英国 / 剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。,65,8.8,130分钟,致命魔术,https://movie.douban.com/subject/1780330/
424586人评价,乔纳森·戴米,1991 / 美国 / 剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。,77,8.8,118分钟,沉默的羔羊,https://movie.douban.com/subject/1293544/
303050人评价,蒂姆·波顿,2003 / 美国 / 剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,98,8.7,125 分钟,大鱼,https://movie.douban.com/subject/1291545/
