counts,director,genre,quote,rank,rating,runtime,title,url
56744人评价,雅克·贝汉,2001 / 法国 德国 意大利 西班牙 瑞士 / 纪录片,最美的飞翔。,242,9.1,98分钟(法国),迁徙的鸟,https://movie.douban.com/subject/1292281/
60159人评价,王树忱,1983 / 中国大陆 / 动画,传奇的年代，醉人的童话。,241,9.1,89分钟,天书奇谭,https://movie.douban.com/subject/1428581/
106368人评价,安德鲁·尼科尔,1997 / 美国 / 剧情 科幻 惊悚,一部能引人思考的科幻励志片。,239,8.7,106分钟,千钧一发,https://movie.douban.com/subject/1300117/
139694人评价,雷德利·斯科特,2001 / 美国 / 动作 历史 战争,还原真实而残酷的战争。,237,8.6,144分钟,黑鹰坠落,https://movie.douban.com/subject/1291824/
155142人评价,罗伯·莱纳,2007 / 美国 / 冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。,240,8.5,97 分钟,遗愿清单,https://movie.douban.com/subject/1867345/
69970人评价,秋昌旼,2011 / 韩国 / 剧情 爱情,你要相信，这世上真的有爱存在，不管在什么年纪,238,9.0,118分钟,我爱你,https://movie.douban.com/subject/5908478/
145296人评价,西恩·潘,2007 / 美国 / 冒险 传记 剧情,出门必备：本草纲目。,235,8.6,148分钟,荒野生存,https://movie.douban.com/subject/1905462/
193022人评价,安东尼·明格拉,1996 / 美国 英国 / 爱情 剧情 战争,"In memory, love lives forever...",236,8.5,162分钟,英国病人,https://movie.douban.com/subject/1291853/
137992人评价,布莱恩·辛格,1995 / 德国 美国 / 剧情 犯罪 悬疑 惊悚,我不信仰上帝，但我敬畏上帝。,233,8.6,106分钟,非常嫌疑犯,https://movie.douban.com/subject/1292214/
209820人评价,斯坦利·库布里克,1971 / 英国 美国 / 犯罪 剧情 科幻,我完全康复了。,228,8.5,136 分钟,发条橙,https://movie.douban.com/subject/1292233/
387750人评价,汤姆·霍珀,2010 / 英国 澳大利亚 美国 / 剧情 传记 历史,皇上无话儿。,234,8.3,118分钟,国王的演讲,https://movie.douban.com/subject/4023638/
181524人评价,理查德·柯蒂斯,2009 / 英国 德国 法国 / 剧情 喜剧 音乐,生命不止，摇滚不死。,232,8.6,116 分钟,海盗电台,https://movie.douban.com/subject/3007773/
159455人评价,爱德华·兹威克,2006 / 美国 德国 / 剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。,230,8.6,143 分钟,血钻,https://movie.douban.com/subject/1428175/
210933人评价,萨姆·门德斯,1999 / 美国 / 剧情 爱情 家庭,每个人的内心都是深不可测的大海。,231,8.5,122分钟,美国丽人,https://movie.douban.com/subject/1292062/
60908人评价,赛尔乔·莱昂内,1966 / 意大利 西班牙 西德 / 冒险 西部,最棒的西部片。,227,9.1,161 分钟,黄金三镖客,https://movie.douban.com/subject/1401118/
150483人评价,汤姆·麦卡锡,2015 / 美国 / 剧情 传记,新闻人的理性求真。,229,8.8,128分钟,聚焦,https://movie.douban.com/subject/25954475/
223239人评价,詹姆斯·沃德·布柯特,2013 / 美国 英国 / 科幻 悬疑 惊悚,小成本大魅力。,226,8.4,89分钟,彗星来的那一夜,https://movie.douban.com/subject/25807345/
539511人评价,普特鹏·普罗萨卡·那·萨克那卡林,2010 / 泰国 / 剧情 喜剧 爱情,黑小鸭速效美白记。,212,8.3,118分钟(泰国),初恋这件小事,https://movie.douban.com/subject/4739952/
462417人评价,邓肯·琼斯,2011 / 美国 加拿大 / 科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,211,8.4,93分钟,源代码,https://movie.douban.com/subject/3075287/
108781人评价,是枝裕和,2008 / 日本 / 剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,208,8.8,115分钟,步履不停,https://movie.douban.com/subject/2222996/
166187人评价,詹姆斯·卡梅隆,1991 / 美国 法国 / 动作 科幻,少见的超越首部的续集，动作片中的经典。,210,8.6,137分钟,终结者2：审判日,https://movie.douban.com/subject/1291844/
219870人评价,李惠民,1992 / 香港 中国大陆 / 剧情 动作 武侠 古装,嬉笑怒骂，调风动月。,207,8.5,88分钟,新龙门客栈,https://movie.douban.com/subject/1292287/
211431人评价,卡比尔·汗,2015 / 印度 / 剧情 喜剧 动作,宝莱坞的萝莉与大叔。,205,8.5,159分钟,小萝莉的猴神大叔,https://movie.douban.com/subject/26393561/
207025人评价,约翰·卡尼,2013 / 美国 / 喜剧 爱情 音乐,爱我就给我看你的播放列表。,206,8.5,104分钟,再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/
128647人评价,达伦·阿伦诺夫斯基,2000 / 美国 / 剧情,一场没有春天的噩梦。,203,8.7,102分钟,梦之安魂曲,https://movie.douban.com/subject/1292270/
186914人评价,莉莉·沃卓斯基,2003 / 美国 澳大利亚 / 动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,202,8.6,129 分钟,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/
198423人评价,安德鲁·尼科尔,2005 / 美国 法国 / 剧情 犯罪,做一颗让别人需要你的棋子。,190,8.6,122 分钟,战争之王,https://movie.douban.com/subject/1419936/
263306人评价,徐克,1993 / 香港 / 剧情 奇幻 古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,201,8.5,99分钟,青蛇,https://movie.douban.com/subject/1303394/
76775人评价,神山征二郎,1987 / 日本 / 剧情,养狗三日，便会对你终其一生。,188,9.1,107 分钟,忠犬八公物语,https://movie.douban.com/subject/1959195/
151168人评价,陆川,2004 / 中国大陆 香港 / 剧情 犯罪,坚硬的信仰。,186,8.7,85分钟(中国大陆),可可西里,https://movie.douban.com/subject/1308857/
151568人评价,阿斯哈·法哈蒂,2011 / 伊朗 法国 / 剧情 家庭,只有有信仰的人才能说出事实真相。,189,8.7,123分钟,一次别离,https://movie.douban.com/subject/5964718/
155748人评价,汉内斯·赫尔姆,2015 / 瑞典 / 剧情,惠及一生的美丽。,187,8.8,116分钟,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/
61557人评价,小津安二郎,1953 / 日本 / 剧情 家庭,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,209,9.2,136 分钟,东京物语,https://movie.douban.com/subject/1291568/
388079人评价,克里斯托弗·史密斯,2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚,不要企图在重复中寻找已经失去的爱。,184,8.4,99 分钟,恐怖游轮,https://movie.douban.com/subject/3011051/
304526人评价,莫滕·泰杜姆,2014 / 英国 美国 / 剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,185,8.6,114分钟,模仿游戏,https://movie.douban.com/subject/10463953/
249530人评价,王家卫,1990 / 香港 / 犯罪 剧情 爱情,王家卫是一种风格，张国荣是一个代表。,181,8.5,94分钟,阿飞正传,https://movie.douban.com/subject/1305690/
191422人评价,伦尼·阿伯拉罕森,2015 / 爱尔兰 加拿大 英国 美国 / 剧情 家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,183,8.8,118分钟,房间,https://movie.douban.com/subject/25724855/
307432人评价,史蒂芬·戴德利,2008 / 美国 德国 / 剧情 爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。,180,8.5,124 分钟,朗读者,https://movie.douban.com/subject/2213597/
242197人评价,瑞奇·摩尔,2012 / 美国 / 喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。,182,8.7,101分钟,无敌破坏王,https://movie.douban.com/subject/6534248/
319492人评价,汤姆·提克威,2006 / 德国 法国 西班牙 美国 / 剧情 犯罪 奇幻,一个单凭体香达到高潮的男人。,179,8.4,147分钟,香水,https://movie.douban.com/subject/1760622/
153916人评价,丹尼斯·甘塞尔,2008 / 德国 / 剧情 惊悚,世界离独裁只有五天。,178,8.7,107 分钟,浪潮,https://movie.douban.com/subject/2297265/
150795人评价,黑泽明,1950 / 日本 / 犯罪 剧情 悬疑,人生的N种可能性。,176,8.7,88分钟,罗生门,https://movie.douban.com/subject/1291879/
600598人评价,新海诚,2016 / 日本 / 剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,177,8.4,106分钟,你的名字。,https://movie.douban.com/subject/26683290/
392462人评价,梅尔·吉布森,2016 / 美国 澳大利亚 / 剧情 传记 历史 战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,163,8.7,139分钟(中国大陆),血战钢锯岭,https://movie.douban.com/subject/26325320/
335265人评价,尼克·卡萨维茨,2004 / 美国 / 剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,162,8.5,123分钟,恋恋笔记本,https://movie.douban.com/subject/1309163/
225182人评价,让-马克·瓦雷,2013 / 美国 / 剧情 传记 同性,Jared Leto的腿比女人还美！,160,8.7,117分钟,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/
99879人评价,克林特·伊斯特伍德,1993 / 美国 / 剧情 犯罪,坏人的好总是比好人的好来得更感人。,157,9.0,138分钟,完美的世界,https://movie.douban.com/subject/1300992/
166726人评价,爱德华·兹威克,1994 / 美国 / 剧情 爱情 西部 家庭,传奇，不是每个人都可以拥有。,161,8.7,133分钟,燃情岁月,https://movie.douban.com/subject/1295865/
123410人评价,热拉尔·乌里,1966 / 法国 英国 / 喜剧 战争,永远看不腻的喜剧。,156,8.9,132分钟,虎口脱险,https://movie.douban.com/subject/1296909/
159224人评价,弗朗西斯·福特·科波拉,1990 / 美国 / 剧情 犯罪,任何信念的力量，都无法改变命运。,155,8.8,170分钟,教父3,https://movie.douban.com/subject/1294240/
291903人评价,王家卫,2000 / 香港 / 剧情 爱情,偷情本没有这样美。,159,8.6,98 分钟,花样年华,https://movie.douban.com/subject/1291557/
250194人评价,理查德·柯蒂斯,2013 / 英国 / 剧情 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,153,8.7,123分钟,时空恋旅人,https://movie.douban.com/subject/10577869/
249256人评价,肯尼思·洛纳根,2016 / 美国 / 剧情 家庭,我们都有权利不与自己的过去和解。,154,8.6,137分钟,海边的曼彻斯特,https://movie.douban.com/subject/25980443/
221294人评价,李焕庆,2013 / 韩国 / 剧情 喜剧 家庭,《我是山姆》的《美丽人生》。,134,8.7,127分钟,7号房的礼物,https://movie.douban.com/subject/10777687/
95281人评价,是枝裕和,2004 / 日本 / 剧情,我的平常生活就是他人的幸福。,152,9.1,141分钟,无人知晓,https://movie.douban.com/subject/1292337/
306392人评价,王家卫,1994 / 香港 台湾 / 剧情 动作 爱情 武侠 古装,电影诗。,133,8.6,100分钟,东邪西毒,https://movie.douban.com/subject/1292328/
185142人评价,吴宇森,1991 / 香港 / 剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。,151,8.7,108分钟,纵横四海,https://movie.douban.com/subject/1295409/
236609人评价,温子仁,2004 / 美国 / 悬疑 惊悚 恐怖,真相就在眼前。,131,8.7,103分钟,电锯惊魂,https://movie.douban.com/subject/1417598/
168019人评价,李安,1993 / 台湾 美国 / 剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,132,8.8,108分钟,喜宴,https://movie.douban.com/subject/1303037/
154417人评价,森淳一,2015 / 日本 / 剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,127,9.0,120分钟,小森林 冬春篇,https://movie.douban.com/subject/25814707/
217125人评价,保罗·格林格拉斯,2007 / 美国 德国 / 动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。,130,8.7,115分钟,谍影重重3,https://movie.douban.com/subject/1578507/
301125人评价,彼特·道格特,2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,不要给它起名字，起了名字就有感情了。,128,8.6,92 分钟,怪兽电力公司,https://movie.douban.com/subject/1291579/
286442人评价,金秉祐,2013 / 韩国 / 剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。,111,8.7,97分钟,恐怖直播,https://movie.douban.com/subject/21360417/
238617人评价,高畑勋,1988 / 日本 / 动画 剧情 战争,幸福是生生不息，却难以触及的远。,129,8.7,89 分钟,萤火虫之墓,https://movie.douban.com/subject/1293318/
210588人评价,近藤喜文,1995 / 日本 / 剧情 爱情 动画,少女情怀总是诗。,109,8.8,111分钟,侧耳倾听,https://movie.douban.com/subject/1297052/
326078人评价,程小东,1987 / 香港 / 剧情 爱情 武侠 古装,两张绝世的脸。,110,8.6,98分钟(香港),倩女幽魂,https://movie.douban.com/subject/1297447/
178229人评价,森淳一,2014 / 日本 / 剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,108,8.9,111分钟,小森林 夏秋篇,https://movie.douban.com/subject/25814705/
338597人评价,大卫·叶茨,2011 / 美国 英国 / 剧情 悬疑 奇幻 冒险,10年的完美句点。,126,8.7,130分钟,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/
401324人评价,周星驰,1999 / 香港 / 喜剧 剧情 爱情,我是一个演员。,107,8.6,85分钟,喜剧之王,https://movie.douban.com/subject/1302425/
330347人评价,刘镇伟,1993 / 香港 / 喜剧 古装,百看不厌。,101,8.7,113分钟(香港),射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/
180235人评价,卡迪亚·兰德,2002 / 巴西 法国 / 犯罪 剧情,被上帝抛弃了的上帝之城。,106,8.9,130分钟,上帝之城,https://movie.douban.com/subject/1292208/
271378人评价,理查德·林克莱特,1995 / 美国 奥地利 瑞士 / 剧情 爱情,缘分是个连绵词，最美不过一瞬。,105,8.7,101分钟,爱在黎明破晓前,https://movie.douban.com/subject/1296339/
440531人评价,大卫·芬奇,2014 / 美国 / 剧情 犯罪 悬疑 惊悚,年度最佳date movie。,104,8.7,149分钟,消失的爱人,https://movie.douban.com/subject/21318488/
325513人评价,姜炯哲,2011 / 韩国 / 剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。,103,8.8,124分钟,阳光姐妹淘,https://movie.douban.com/subject/4917726/
283773人评价,宫崎骏,1997 / 日本 / 动画 奇幻 冒险,人与自然的战争史诗。,88,8.8,134分钟,幽灵公主,https://movie.douban.com/subject/1297359/
271516人评价,陈可辛,1996 / 香港 / 剧情 爱情,相逢只要一瞬间，等待却像是一辈子。,102,8.8,118分钟(中国大陆),甜蜜蜜,https://movie.douban.com/subject/1305164/
331752人评价,姜文,1994 / 中国大陆 香港 / 剧情,一场华丽的意淫。,87,8.8,134分钟(中国大陆),阳光灿烂的日子,https://movie.douban.com/subject/1291875/
307599人评价,史蒂文·斯皮尔伯格,2002 / 美国 加拿大 / 传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。,83,8.8,141 分钟,猫鼠游戏,https://movie.douban.com/subject/1305487/
264016人评价,亚当·艾略特,2009 / 澳大利亚 / 剧情 动画,你是我最好的朋友，你是我唯一的朋友 。,86,8.9,92分钟,玛丽和马克思,https://movie.douban.com/subject/3072124/
407918人评价,韦斯·安德森,2014 / 美国 德国 英国 / 剧情 喜剧 冒险,小清新的故事里注入了大历史的情怀。,84,8.8,99分钟,布达佩斯大饭店,https://movie.douban.com/subject/11525673/
447809人评价,马丁·斯科塞斯,2010 / 美国 / 剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。,85,8.7,138 分钟,禁闭岛,https://movie.douban.com/subject/2334904/
307214人评价,王家卫,1997 / 香港 日本 韩国 / 剧情 爱情 同性,爱情纠缠，男女一致。,80,8.8,96分钟,春光乍泄,https://movie.douban.com/subject/1292679/
466316人评价,埃里克·布雷斯,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。,79,8.7,113分钟,蝴蝶效应,https://movie.douban.com/subject/1292343/
339006人评价,格斯·范·桑特,1997 / 美国 / 剧情,人生中应该拥有这样的一段豁然开朗。,81,8.8,126 分钟,心灵捕手,https://movie.douban.com/subject/1292656/
358781人评价,克里斯·哥伦布,2001 / 美国 英国 / 奇幻 冒险,童话世界的开端。,78,8.8,152分钟,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/
374316人评价,中岛哲也,2006 / 日本 / 剧情 歌舞,以戏谑来戏谑戏谑。,63,8.9,130 分钟,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/
518734人评价,大卫·芬奇,1995 / 美国 / 剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。,62,8.8,127分钟,七宗罪,https://movie.douban.com/subject/1292223/
587185人评价,蒂姆·波顿,1990 / 美国 / 剧情 奇幻 爱情,浪漫忧郁的成人童话。,76,8.7,105 分钟,剪刀手爱德华,https://movie.douban.com/subject/1292370/
180256人评价,马基德·马基迪,1997 / 伊朗 / 剧情 家庭 儿童,奔跑的孩子是天使。,61,9.2,89 分钟,小鞋子,https://movie.douban.com/subject/1303021/
251123人评价,贝纳尔多·贝托鲁奇,1987 / 英国 意大利 中国大陆 法国 美国 / 剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,60,9.1,163分钟,末代皇帝,https://movie.douban.com/subject/1293172/
214075人评价,赛尔乔·莱昂内,1984 / 意大利 美国 / 犯罪 剧情,往事如烟，无处祭奠。,59,9.1,229分钟(导演剪辑版),美国往事,https://movie.douban.com/subject/1292262/
248654人评价,罗曼·波兰斯基,2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐,音乐能化解仇恨。,58,9.1,150分钟,钢琴家,https://movie.douban.com/subject/1296736/
466032人评价,岩井俊二,1995 / 日本 / 剧情 爱情,暗恋的极致。,55,8.8,117分钟,情书,https://movie.douban.com/subject/1292220/
357890人评价,罗杰·阿勒斯,1994 / 美国 / 剧情 动画 冒险 歌舞 家庭,动物版《哈姆雷特》。,57,8.9,89 分钟,狮子王,https://movie.douban.com/subject/1301753/
246968人评价,李濬益,2013 / 韩国 / 剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,56,9.1,123分钟,素媛,https://movie.douban.com/subject/21937452/
379362人评价,彼得·杰克逊,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,传说的开始。,52,8.9,178分钟,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/
376904人评价,朗·霍华德,2001 / 美国 / 传记 剧情,爱是一切逻辑和原由。,53,8.9,135 分钟,美丽心灵,https://movie.douban.com/subject/1306029/
338863人评价,彼得·杰克逊,2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,承前启后的史诗篇章。,51,9.0,179分钟,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/
260769人评价,李安,1994 / 台湾 美国 / 剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。,54,9.1,124分钟,饮食男女,https://movie.douban.com/subject/1291818/
540241人评价,刘镇伟,1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 冒险,旷古烁今。,38,8.9,87分钟,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/
641834人评价,彼特·道格特,2009 / 美国 / 剧情 喜剧 动画 冒险,最后那些最无聊的事情，才是最值得怀念的。,37,8.9,96分钟,飞屋环游记,https://movie.douban.com/subject/2129039/
147426人评价,比利·怀德,1957 / 美国 / 剧情 犯罪 悬疑,比利·怀德满分作品。,34,9.6,116分钟,控方证人,https://movie.douban.com/subject/1296141/
476008人评价,大卫·芬奇,1999 / 美国 德国 / 剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,36,9.0,139 分钟,搏击俱乐部,https://movie.douban.com/subject/1292000/
420119人评价,宫崎骏,1986 / 日本 / 动画 奇幻 冒险,对天空的追逐，永不停止。,35,9.0,125分钟,天空之城,https://movie.douban.com/subject/1291583/
301811人评价,姜文,2000 / 中国大陆 / 剧情 历史 战争,对敌人的仁慈，就是对自己残忍。,32,9.2,139分钟,鬼子来了,https://movie.douban.com/subject/1291858/
364150人评价,泷田洋二郎,2008 / 日本 / 剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,82,8.8,130 分钟,入殓师,https://movie.douban.com/subject/2149806/
361279人评价,彼得·杰克逊,2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,史诗的终章。,33,9.1,201分钟,指环王3：王者无敌,https://movie.douban.com/subject/1291552/
216994人评价,西德尼·吕美特,1957 / 美国 / 剧情,1957年的理想主义。,31,9.4,96 分钟,十二怒汉,https://movie.douban.com/subject/1293182/
727532人评价,李安,2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。,30,9.0,127分钟,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/
369684人评价,朱塞佩·托纳多雷,1988 / 意大利 法国 / 剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,29,9.1,155分钟,天堂电影院,https://movie.douban.com/subject/1291828/
